user_id,signup_date,user_tier,region
TL0000,2026-01-07T00:00:00.000000,Eco-Ally,Europe
TL0001,2026-01-24T00:00:00.000000,Eco-Ally,Asia
TL0002,2026-01-17T00:00:00.000000,Eco-Ally,Europe
TL0003,2026-01-18T00:00:00.000000,Basic,
TL0004,2026-01-07T00:00:00.000000,Basic,North America
TL0005,2026-01-24T00:00:00.000000,Basic,North America
TL0006,2026-01-12T00:00:00.000000,Eco-Ally,Europe
TL0007,2026-01-27T00:00:00.000000,Basic,Europe
TL0008,2026-01-27T00:00:00.000000,Basic,Asia
TL0009,2026-01-18T00:00:00.000000,Basic,
TL0010,2026-01-19T00:00:00.000000,Basic,Europe
TL0011,2026-01-10T00:00:00.000000,Eco-Ally,
TL0012,2026-01-13T00:00:00.000000,Basic,
TL0013,2026-01-08T00:00:00.000000,Eco-Ally,
TL0014,2026-01-30T00:00:00.000000,Basic,
TL0015,2026-01-24T00:00:00.000000,Premium,Asia
TL0016,2026-01-20T00:00:00.000000,Eco-Ally,North America
TL0017,2026-01-20T00:00:00.000000,Basic,Europe
TL0018,2026-01-16T00:00:00.000000,Basic,Europe
TL0019,2026-01-02T00:00:00.000000,Eco-Ally,
TL0020,2026-01-15T00:00:00.000000,Basic,Asia
TL0021,2026-01-07T00:00:00.000000,Eco-Ally,North America
TL0022,2026-01-24T00:00:00.000000,Premium,Asia
TL0023,2026-01-27T00:00:00.000000,Basic,Europe
TL0024,2026-01-09T00:00:00.000000,Basic,Asia
TL0025,2026-01-14T00:00:00.000000,Eco-Ally,Asia
TL0026,2026-01-25T00:00:00.000000,Basic,Asia
TL0027,2026-01-19T00:00:00.000000,Basic,North America
TL0028,2026-01-14T00:00:00.000000,Basic,Europe
TL0029,2026-01-05T00:00:00.000000,Basic,Asia
TL0030,2026-01-09T00:00:00.000000,Eco-Ally,
TL0031,2026-01-14T00:00:00.000000,Basic,Europe
TL0032,2026-01-05T00:00:00.000000,Basic,North America
TL0033,2026-01-13T00:00:00.000000,Basic,Asia
TL0034,2026-01-08T00:00:00.000000,Eco-Ally,
TL0035,2026-01-10T00:00:00.000000,Basic,Europe
TL0036,2026-01-30T00:00:00.000000,Basic,North America
TL0037,2026-01-10T00:00:00.000000,Premium,Asia
TL0038,2026-01-16T00:00:00.000000,Basic,Asia
TL0039,2026-01-31T00:00:00.000000,Eco-Ally,Europe
TL0040,2026-01-16T00:00:00.000000,Eco-Ally,
TL0041,2026-01-21T00:00:00.000000,Basic,North America
TL0042,2026-01-11T00:00:00.000000,Eco-Ally,North America
TL0043,2026-01-13T00:00:00.000000,Basic,Europe
TL0044,2026-01-16T00:00:00.000000,Basic,North America
TL0045,2026-01-15T00:00:00.000000,Basic,Asia
TL0046,2026-01-25T00:00:00.000000,Basic,North America
TL0047,2026-01-14T00:00:00.000000,Basic,North America
TL0048,2026-01-14T00:00:00.000000,Basic,North America
TL0049,2026-01-13T00:00:00.000000,Basic,North America
TL0050,2026-01-11T00:00:00.000000,Basic,Asia
TL0051,2026-01-24T00:00:00.000000,Eco-Ally,
TL0052,2026-01-18T00:00:00.000000,Basic,Europe
TL0053,2026-01-24T00:00:00.000000,Basic,Europe
TL0054,2026-01-09T00:00:00.000000,Basic,
TL0055,2026-01-20T00:00:00.000000,Eco-Ally,North America
TL0056,2026-01-05T00:00:00.000000,Eco-Ally,Asia
TL0057,2026-01-01T00:00:00.000000,Eco-Ally,Asia
TL0058,2026-01-17T00:00:00.000000,Basic,Asia
TL0059,2026-01-31T00:00:00.000000,Basic,
TL0060,2026-01-30T00:00:00.000000,Basic,
TL0061,2026-01-21T00:00:00.000000,Basic,
TL0062,2026-01-31T00:00:00.000000,Basic,North America
TL0063,2026-01-06T00:00:00.000000,Eco-Ally,North America
TL0064,2026-01-19T00:00:00.000000,Premium,
TL0065,2026-01-24T00:00:00.000000,Basic,Europe
TL0066,2026-01-10T00:00:00.000000,Basic,
TL0067,2026-01-30T00:00:00.000000,Eco-Ally,North America
TL0068,2026-01-11T00:00:00.000000,Basic,
TL0069,2026-01-11T00:00:00.000000,Premium,Asia
TL0070,2026-01-30T00:00:00.000000,Basic,Europe
TL0071,2026-01-29T00:00:00.000000,Basic,Asia
TL0072,2026-01-18T00:00:00.000000,Premium,
TL0073,2026-01-24T00:00:00.000000,Eco-Ally,North America
TL0074,2026-01-24T00:00:00.000000,Basic,North America
TL0075,2026-01-10T00:00:00.000000,Basic,North America
TL0076,2026-01-22T00:00:00.000000,Basic,North America
TL0077,2026-01-06T00:00:00.000000,Eco-Ally,Asia
TL0078,2026-01-11T00:00:00.000000,Basic,Europe
TL0079,2026-01-05T00:00:00.000000,Basic,Asia
TL0080,2026-01-25T00:00:00.000000,Basic,Europe
TL0081,2026-01-27T00:00:00.000000,Eco-Ally,
TL0082,2026-01-03T00:00:00.000000,Premium,
TL0083,2026-01-13T00:00:00.000000,Basic,Europe
TL0084,2026-01-15T00:00:00.000000,Eco-Ally,Europe
TL0085,2026-01-03T00:00:00.000000,Basic,Asia
TL0086,2026-01-14T00:00:00.000000,Basic,North America
TL0087,2026-01-19T00:00:00.000000,Basic,Europe
TL0088,2026-01-29T00:00:00.000000,Eco-Ally,
TL0089,2026-01-25T00:00:00.000000,Eco-Ally,Europe
TL0090,2026-01-05T00:00:00.000000,Basic,
TL0091,2026-01-15T00:00:00.000000,Basic,Europe
TL0092,2026-01-26T00:00:00.000000,Basic,
TL0093,2026-01-13T00:00:00.000000,Basic,Europe
TL0094,2026-01-30T00:00:00.000000,Basic,Asia
TL0095,2026-01-30T00:00:00.000000,Basic,Europe
TL0096,2026-01-05T00:00:00.000000,Basic,North America
TL0097,2026-01-09T00:00:00.000000,Basic,Asia
TL0098,2026-01-02T00:00:00.000000,Basic,North America
TL0099,2026-01-25T00:00:00.000000,Basic,Asia
TL0100,2026-01-28T00:00:00.000000,Basic,Europe
TL0101,2026-01-02T00:00:00.000000,Eco-Ally,Europe
TL0102,2026-01-09T00:00:00.000000,Eco-Ally,Asia
TL0103,2026-01-13T00:00:00.000000,Eco-Ally,Asia
TL0104,2026-01-23T00:00:00.000000,Basic,Europe
TL0105,2026-01-05T00:00:00.000000,Eco-Ally,North America
TL0106,2026-01-05T00:00:00.000000,Premium,Asia
TL0107,2026-01-01T00:00:00.000000,Eco-Ally,Asia
TL0108,2026-01-24T00:00:00.000000,Basic,Europe
TL0109,2026-01-04T00:00:00.000000,Basic,Asia
TL0110,2026-01-11T00:00:00.000000,Eco-Ally,Europe
TL0111,2026-01-07T00:00:00.000000,Eco-Ally,
TL0112,2026-01-05T00:00:00.000000,Basic,Europe
TL0113,2026-01-18T00:00:00.000000,Basic,Europe
TL0114,2026-01-03T00:00:00.000000,Eco-Ally,Asia
TL0115,2026-01-31T00:00:00.000000,Basic,Europe
TL0116,2026-01-11T00:00:00.000000,Basic,North America
TL0117,2026-01-03T00:00:00.000000,Eco-Ally,Asia
TL0118,2026-01-18T00:00:00.000000,Eco-Ally,Asia
TL0119,2026-01-29T00:00:00.000000,Eco-Ally,
TL0120,2026-01-15T00:00:00.000000,Basic,North America
TL0121,2026-01-28T00:00:00.000000,Basic,Asia
TL0122,2026-01-30T00:00:00.000000,Eco-Ally,
TL0123,2026-01-17T00:00:00.000000,Basic,Asia
TL0124,2026-01-29T00:00:00.000000,Basic,
TL0125,2026-01-22T00:00:00.000000,Eco-Ally,Europe
TL0126,2026-01-04T00:00:00.000000,Eco-Ally,Europe
TL0127,2026-01-12T00:00:00.000000,Premium,North America
TL0128,2026-01-30T00:00:00.000000,Eco-Ally,Asia
TL0129,2026-01-23T00:00:00.000000,Eco-Ally,Asia
TL0130,2026-01-20T00:00:00.000000,Basic,
TL0131,2026-01-14T00:00:00.000000,Basic,Asia
TL0132,2026-01-14T00:00:00.000000,Eco-Ally,North America
TL0133,2026-01-12T00:00:00.000000,Basic,
TL0134,2026-01-30T00:00:00.000000,Basic,Asia
TL0135,2026-01-04T00:00:00.000000,Premium,
TL0136,2026-01-11T00:00:00.000000,Basic,Asia
TL0137,2026-01-05T00:00:00.000000,Basic,North America
TL0138,2026-01-07T00:00:00.000000,Eco-Ally,North America
TL0139,2026-01-13T00:00:00.000000,Basic,North America
TL0140,2026-01-21T00:00:00.000000,Eco-Ally,North America
TL0141,2026-01-21T00:00:00.000000,Basic,
TL0142,2026-01-24T00:00:00.000000,Premium,North America
TL0143,2026-01-13T00:00:00.000000,Basic,
TL0144,2026-01-24T00:00:00.000000,Basic,Europe
TL0145,2026-01-11T00:00:00.000000,Eco-Ally,Europe
TL0146,2026-01-25T00:00:00.000000,Premium,Europe
TL0147,2026-01-19T00:00:00.000000,Basic,
TL0148,2026-01-11T00:00:00.000000,Basic,North America
TL0149,2026-01-24T00:00:00.000000,Eco-Ally,
TL0150,2026-01-15T00:00:00.000000,Premium,
TL0151,2026-01-21T00:00:00.000000,Basic,Asia
TL0152,2026-01-02T00:00:00.000000,Basic,Asia
TL0153,2026-01-19T00:00:00.000000,Basic,North America
TL0154,2026-01-29T00:00:00.000000,Basic,Europe
TL0155,2026-01-12T00:00:00.000000,Basic,
TL0156,2026-01-31T00:00:00.000000,Premium,Europe
TL0157,2026-01-08T00:00:00.000000,Basic,Asia
TL0158,2026-01-15T00:00:00.000000,Basic,Europe
TL0159,2026-01-25T00:00:00.000000,Premium,North America
TL0160,2026-01-08T00:00:00.000000,Basic,Asia
TL0161,2026-01-17T00:00:00.000000,Basic,Asia
TL0162,2026-01-12T00:00:00.000000,Basic,Europe
TL0163,2026-01-23T00:00:00.000000,Eco-Ally,Europe
TL0164,2026-01-07T00:00:00.000000,Basic,North America
TL0165,2026-01-09T00:00:00.000000,Eco-Ally,North America
TL0166,2026-01-28T00:00:00.000000,Basic,North America
TL0167,2026-01-25T00:00:00.000000,Eco-Ally,Asia
TL0168,2026-01-26T00:00:00.000000,Basic,Europe
TL0169,2026-01-11T00:00:00.000000,Basic,Europe
TL0170,2026-01-15T00:00:00.000000,Eco-Ally,North America
TL0171,2026-01-02T00:00:00.000000,Basic,North America
TL0172,2026-01-08T00:00:00.000000,Basic,Europe
TL0173,2026-01-22T00:00:00.000000,Eco-Ally,Europe
TL0174,2026-01-14T00:00:00.000000,Basic,
TL0175,2026-01-11T00:00:00.000000,Basic,North America
TL0176,2026-01-15T00:00:00.000000,Basic,
TL0177,2026-01-31T00:00:00.000000,Basic,Asia
TL0178,2026-01-28T00:00:00.000000,Premium,Asia
TL0179,2026-01-05T00:00:00.000000,Basic,Asia
TL0180,2026-01-07T00:00:00.000000,Eco-Ally,Europe
TL0181,2026-01-09T00:00:00.000000,Basic,Europe
TL0182,2026-01-19T00:00:00.000000,Basic,Asia
TL0183,2026-01-28T00:00:00.000000,Eco-Ally,Europe
TL0184,2026-01-03T00:00:00.000000,Basic,
TL0185,2026-01-25T00:00:00.000000,Basic,Asia
TL0186,2026-01-17T00:00:00.000000,Basic,North America
TL0187,2026-01-15T00:00:00.000000,Eco-Ally,
TL0188,2026-01-23T00:00:00.000000,Basic,North America
TL0189,2026-01-22T00:00:00.000000,Eco-Ally,Asia
TL0190,2026-01-19T00:00:00.000000,Premium,
TL0191,2026-01-01T00:00:00.000000,Basic,North America
TL0192,2026-01-13T00:00:00.000000,Basic,Asia
TL0193,2026-01-09T00:00:00.000000,Eco-Ally,Europe
TL0194,2026-01-29T00:00:00.000000,Basic,North America
TL0195,2026-01-29T00:00:00.000000,Eco-Ally,Asia
TL0196,2026-01-23T00:00:00.000000,Basic,North America
TL0197,2026-01-21T00:00:00.000000,Eco-Ally,North America
TL0198,2026-01-08T00:00:00.000000,Basic,Asia
TL0199,2026-01-02T00:00:00.000000,Eco-Ally,North America
TL0200,2026-01-19T00:00:00.000000,Eco-Ally,Europe
TL0201,2026-01-01T00:00:00.000000,Basic,Asia
TL0202,2026-01-02T00:00:00.000000,Basic,Europe
TL0203,2026-01-11T00:00:00.000000,Basic,Europe
TL0204,2026-01-15T00:00:00.000000,Premium,
TL0205,2026-01-11T00:00:00.000000,Basic,North America
TL0206,2026-01-04T00:00:00.000000,Basic,Asia
TL0207,2026-01-19T00:00:00.000000,Basic,
TL0208,2026-01-31T00:00:00.000000,Eco-Ally,
TL0209,2026-01-12T00:00:00.000000,Eco-Ally,North America
TL0210,2026-01-23T00:00:00.000000,Eco-Ally,Asia
TL0211,2026-01-21T00:00:00.000000,Basic,North America
TL0212,2026-01-03T00:00:00.000000,Basic,
TL0213,2026-01-27T00:00:00.000000,Eco-Ally,
TL0214,2026-01-12T00:00:00.000000,Premium,Europe
TL0215,2026-01-11T00:00:00.000000,Basic,Asia
TL0216,2026-01-17T00:00:00.000000,Premium,Asia
TL0217,2026-01-24T00:00:00.000000,Basic,North America
TL0218,2026-01-08T00:00:00.000000,Premium,Europe
TL0219,2026-01-30T00:00:00.000000,Eco-Ally,
TL0220,2026-01-26T00:00:00.000000,Basic,
TL0221,2026-01-02T00:00:00.000000,Eco-Ally,Asia
TL0222,2026-01-19T00:00:00.000000,Eco-Ally,North America
TL0223,2026-01-24T00:00:00.000000,Basic,Asia
TL0224,2026-01-05T00:00:00.000000,Basic,North America
TL0225,2026-01-25T00:00:00.000000,Basic,
TL0226,2026-01-08T00:00:00.000000,Basic,Asia
TL0227,2026-01-01T00:00:00.000000,Premium,Europe
TL0228,2026-01-10T00:00:00.000000,Premium,North America
TL0229,2026-01-04T00:00:00.000000,Basic,
TL0230,2026-01-09T00:00:00.000000,Eco-Ally,Europe
TL0231,2026-01-08T00:00:00.000000,Basic,Asia
TL0232,2026-01-06T00:00:00.000000,Basic,North America
TL0233,2026-01-31T00:00:00.000000,Basic,
TL0234,2026-01-11T00:00:00.000000,Eco-Ally,Europe
TL0235,2026-01-27T00:00:00.000000,Basic,North America
TL0236,2026-01-11T00:00:00.000000,Basic,
TL0237,2026-01-28T00:00:00.000000,Basic,North America
TL0238,2026-01-29T00:00:00.000000,Basic,Asia
TL0239,2026-01-10T00:00:00.000000,Premium,North America
TL0240,2026-01-30T00:00:00.000000,Basic,Asia
TL0241,2026-01-04T00:00:00.000000,Basic,
TL0242,2026-01-01T00:00:00.000000,Basic,
TL0243,2026-01-23T00:00:00.000000,Basic,North America
TL0244,2026-01-08T00:00:00.000000,Premium,Asia
TL0245,2026-01-24T00:00:00.000000,Basic,Asia
TL0246,2026-01-26T00:00:00.000000,Basic,
TL0247,2026-01-12T00:00:00.000000,Basic,
TL0248,2026-01-20T00:00:00.000000,Basic,Europe
TL0249,2026-01-20T00:00:00.000000,Eco-Ally,North America
